Year,Month,Day,Hour,Decimal Year,T
1940,3,9,18,1940.1878,4.8299562
1940,3,10,0,1940.1885,-0.025776328
1940,3,10,6,1940.1892,-2.9017564
1940,3,10,12,1940.1899,-4.1760798
1940,3,10,18,1940.1906,-1.8514898
1940,3,11,0,1940.1913,-5.2350987
1940,3,11,6,1940.1919,-8.7272351
1940,3,11,12,1940.1926,-11.494688
1940,3,11,18,1940.1933,-7.3356319
1940,3,12,0,1940.194,-10.927544
1940,3,12,6,1940.1947,-14.554464
1940,3,12,12,1940.1954,-15.891804
1940,3,12,18,1940.196,-8.3596418
1940,3,13,0,1940.1967,-10.607212
1940,3,13,6,1940.1974,-13.063086
1940,3,13,12,1940.1981,-15.238888
1940,3,13,18,1940.1988,-3.7892316
1940,3,14,0,1940.1995,-6.2258501
1940,3,14,6,1940.2001,-10.696485
1940,3,14,12,1940.2008,-8.8147573
1940,3,14,18,1940.2015,1.7456733
1940,3,15,0,1940.2022,-1.482146
1940,3,15,6,1940.2029,-2.7372146
1940,3,15,12,1940.2036,-0.78897006
1940,3,15,18,1940.2042,0.97372738
1940,3,16,0,1940.2049,-2.3451151
1940,3,16,6,1940.2056,-5.5379255
1940,3,16,12,1940.2063,-6.1575828
1940,3,16,18,1940.207,-0.55266007
1940,3,17,0,1940.2077,-6.1540819
1940,3,17,6,1940.2083,-6.654709
1940,3,17,12,1940.209,-8.0638167
1940,3,17,18,1940.2097,-2.1158069
1940,3,18,0,1940.2104,-4.4421474
1940,3,18,6,1940.2111,-8.5644438
1940,3,18,12,1940.2117,-11.708242
1940,3,18,18,1940.2124,0.94046894
1940,3,19,0,1940.2131,-1.151312
1940,3,19,6,1940.2138,-3.0820521
1940,3,19,12,1940.2145,-2.8702484
1940,3,19,18,1940.2152,3.233551
1940,3,20,0,1940.2158,0.17202388
1940,3,20,6,1940.2165,-1.4471371
1940,3,20,12,1940.2172,-2.8404908
1940,3,20,18,1940.2179,4.2995716
1940,3,21,0,1940.2186,2.4983644
1940,3,21,6,1940.2193,-0.75571161
1940,3,21,12,1940.2199,-1.5066522
1940,3,21,18,1940.2206,1.1995347
1940,3,22,0,1940.2213,-4.3791314
1940,3,22,6,1940.222,-5.2631058
1940,3,22,12,1940.2227,-3.6386934
1940,3,22,18,1940.2234,-1.0112765
1940,3,23,0,1940.224,-2.2750973
1940,3,23,6,1940.2247,-8.6887253
1940,3,23,12,1940.2254,-9.1158337
1940,3,23,18,1940.2261,-5.6412017
1940,3,24,0,1940.2268,-8.0760698
1940,3,24,6,1940.2275,-12.208869
1940,3,24,12,1940.2281,-13.372914
1940,3,24,18,1940.2288,-8.5942013
1940,3,25,0,1940.2295,-8.6432138
1940,3,25,6,1940.2302,-12.543204
1940,3,25,12,1940.2309,-13.23813
1940,3,25,18,1940.2316,-6.3518821
1940,3,26,0,1940.2322,-8.6222084
1940,3,26,6,1940.2329,-8.872522
1940,3,26,12,1940.2336,-8.1198309
1940,3,26,18,1940.2343,-3.3096099
1940,3,27,0,1940.235,-3.668451
1940,3,27,6,1940.2357,-8.9687964
1940,3,27,12,1940.2363,-8.6782227
1940,3,27,18,1940.237,-0.2813412
1940,3,28,0,1940.2377,-2.7722235
1940,3,28,6,1940.2384,-4.5034129
1940,3,28,12,1940.2391,-5.3383749
1940,3,28,18,1940.2398,2.8624568
1940,3,29,0,1940.2404,-1.3648662
1940,3,29,6,1940.2411,-5.2543535
1940,3,29,12,1940.2418,-2.9805264
1940,3,29,18,1940.2425,7.1615481
1940,3,30,0,1940.2432,2.2252951
1940,3,30,6,1940.2439,2.1150171
1940,3,30,12,1940.2445,3.1740359
1940,3,30,18,1940.2452,9.0625306
1940,3,31,0,1940.2459,3.3963423
1940,3,31,6,1940.2466,3.7901923
1940,3,31,12,1940.2473,2.023994
1940,3,31,18,1940.248,8.5041389
1940,4,1,0,1940.2486,4.1560352
1940,4,1,6,1940.2493,0.044241446
1940,4,1,12,1940.25,-0.64018229
1940,4,1,18,1940.2507,0.28405232
1940,4,2,0,1940.2514,-0.56841407
1940,4,2,6,1940.252,-5.5939397
1940,4,2,12,1940.2527,-5.5221715
1940,4,2,18,1940.2534,1.4708536
1940,4,3,0,1940.2541,-1.2493369
1940,4,3,6,1940.2548,-5.5974406
1940,4,3,12,1940.2555,-4.8044893
1940,4,3,18,1940.2561,8.4638787
1940,4,4,0,1940.2568,2.6664071
1940,4,4,6,1940.2575,0.08625211
1940,4,4,12,1940.2582,0.19477966
1940,4,4,18,1940.2589,2.0642542
1940,4,5,0,1940.2596,1.0927576
1940,4,5,6,1940.2602,0.76717495
1940,4,5,12,1940.2609,1.7544256
1940,4,5,18,1940.2616,2.9727348
1940,4,6,0,1940.2623,-2.0422882
1940,4,6,6,1940.263,-6.3361281
1940,4,6,12,1940.2637,-6.4621601
1940,4,6,18,1940.2643,0.056494556
1940,4,7,0,1940.265,1.4866076
1940,4,7,6,1940.2657,-1.6834471
1940,4,7,12,1940.2664,-4.1900834
1940,4,7,18,1940.2671,2.7171699
1940,4,8,0,1940.2678,-1.7674684
1940,4,8,6,1940.2684,-1.9757713
1940,4,8,12,1940.2691,-0.19731987
1940,4,8,18,1940.2698,4.3923452
1940,4,9,0,1940.2705,0.72691473
1940,4,9,6,1940.2712,0.98423005
1940,4,9,12,1940.2719,1.031492
1940,4,9,18,1940.2725,5.9257344
1940,4,10,0,1940.2732,4.0965201
1940,4,10,6,1940.2739,1.4761049
1940,4,10,12,1940.2746,-1.6099284
1940,4,10,18,1940.2753,4.537632
1940,4,11,0,1940.276,0.016234336
1940,4,11,6,1940.2766,-3.9030105
1940,4,11,12,1940.2773,0.10900789
1940,4,11,18,1940.278,8.280082
1940,4,12,0,1940.2787,3.6764134
1940,4,12,6,1940.2794,1.8804575
1940,4,12,12,1940.2801,3.7149232
1940,4,12,18,1940.2807,4.3923452
1940,4,13,0,1940.2814,0.61138541
